"service_bulletin_model_id","allocation_id","service_bulletin_id","sb_reference","sb_title","raw_models_affected_text","parsed_token","expanded_token","linked_model_code","linked_model_name","allocation_status","has_procedure_words","has_date","has_ad_like_number","has_part_kit_like_value","not_safely_inferable","recommended_action"
"390b8e35-bbcc-4d2b-81c5-459195350273","b7be6fd3-6d58-43be-bc70-10562ebd12e5","96b918d8-9c76-46fa-b501-872a0ed62264","182","Foreign Registered Airplanes-Inspection of Control Cables And Replacement of 1/8? - 7 x 19 Flexible Stainless Steel Control Cables","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160, L-4/L-18B/L-18C/ L-21A/L-21B/ L-21B Modified 11/5/59","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160","PA-11S","PA-11S","Cub Special","MATCHED","false","true","false","false","true","SAFE_REMOVE_CANDIDATE"
"43e2d9fa-41b9-4ba1-969d-ca6c9588539c","b7be6fd3-6d58-43be-bc70-10562ebd12e5","96b918d8-9c76-46fa-b501-872a0ed62264","182","Foreign Registered Airplanes-Inspection of Control Cables And Replacement of 1/8? - 7 x 19 Flexible Stainless Steel Control Cables","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160, L-4/L-18B/L-18C/ L-21A/L-21B/ L-21B Modified 11/5/59","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160","PA-15","PA-15","Vagabond","MATCHED","false","true","false","false","true","SAFE_REMOVE_CANDIDATE"
"d72add82-a674-4ccb-b1e9-e9f9b677711f","b7be6fd3-6d58-43be-bc70-10562ebd12e5","96b918d8-9c76-46fa-b501-872a0ed62264","182","Foreign Registered Airplanes-Inspection of Control Cables And Replacement of 1/8? - 7 x 19 Flexible Stainless Steel Control Cables","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160, L-4/L-18B/L-18C/ L-21A/L-21B/ L-21B Modified 11/5/59","J3/ PA-11/11S/15/16/ 16S/ /20S/ 20-115/20-135/22/ 22S-135/22-150/ 22S-160","PA-16","PA-16","Clipper","MATCHED","false","true","false","false","true","SAFE_REMOVE_CANDIDATE"
"668fd5a2-f9f8-4ee2-a259-5f095edf3b18","532be2d2-fe22-4df9-b2cb-07c5bc624bbd","13dfe52d-6e36-45b1-902a-7ebc85bdeaae","845A","Main Landing Gear Forward Side Brace Inspection/Replacement","PA-31/PA-310/325 PA-31-350 T1020 PA-31P PA-31P-350","PA-31/PA-310/325 PA-31-350 T1020 PA-31P PA-31P-350","PA-325","PA-325","Navajo","MATCHED","false","false","false","true","true","SAFE_REMOVE_CANDIDATE"
